product_name,main_category,rating,discounted_price
"Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black)",Computers&Accessories,4.4,399
"Dell WM118 Wireless MouseNA 2.4 Ghz with USB Nano ReceiverNA Optical TrackingNA 12-Months Battery LifeNA AmbidextrousNA Pc/Mac/Laptop - Black.",Computers&Accessories,4.4,569
"AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable (GreyNA 1.8 meter)",Computers&Accessories,4.4,949
"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-FiNA Supports Windows 11/10/8.1/8/7/XPNA Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,4.4,1199
"MI Braided USB Type-C Cable for Charging Adapter (Red)",Computers&Accessories,4.4,349
"Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | Battery Free Cordless Pen with 2048 Pressure Level",Computers&Accessories,4.4,3303
"TP-Link AC1300 USB WiFi Adapter (Archer T3U) - 2.4G/5G Dual Band Mini Wireless Network Adapter for PC DesktopNA MU-MIMO Wi-Fi DongleNA USB 3.0NA Supports Windows 11NA10NA 8.1NA 8NA 7NA XP/Mac OS 10.15 and earlier",Computers&Accessories,4.4,1399
"Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000MbpsNA Waterproof and DurableNA1-Year Warranty-32.8 Feet (10 Meters)(White)",Computers&Accessories,4.4,238
"Western Digital WD Green SATA 240GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5 inches - WDS240G3G0A",Computers&Accessories,4.4,1709
"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-FiNA Supports Windows 11/10/8.1/8/7/XPNA Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,4.4,1199
"Lenovo GX20L29764 65W Laptop Adapter/Charger with Power Cord for Select Models of Lenovo (Round pin) (Black)",Computers&Accessories,4.4,1249
"FEDUS Cat6 Ethernet CableNA 10 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN CableNA Network Cable Internet Cable RJ45 Cable LAN WireNA Patch Computer Cord Gigabit Category 6 Wires for ModemNA Router",Computers&Accessories,4.4,287
"HP GT 53 XL Cartridge Ink",Computers&Accessories,4.4,596
"SanDisk 1TB Extreme Portable SSD 1050MB/s RNA 1000MB/s WNAUpto 2 Meter Drop Protection with IP55 Water/dust ResistanceNA HW EncryptionNA PCNAMAC & TypeC Smartphone CompatibleNA 5Y WarrantyNA External SSD",Computers&Accessories,4.4,10389
"TP-Link AC1200 Archer A6 Smart WiFiNA 5GHz Gigabit Dual Band MU-MIMO Wireless Internet RouterNA Long Range Coverage by 4 AntennasNA Qualcomm Chipset",Computers&Accessories,4.4,2499
"Lenovo 130 Wireless Compact MouseNA 1K DPI Optical sensorNA 2.4GHz Wireless NanoUSBNA 10m rangeNA 3button(leftNArightNAscroll) upto 3M left/right clicksNA 10 month batteryNA AmbidextrousNA Ergonomic GY51C12380",Computers&Accessories,4.4,579
"ZEBRONICS Aluminium Alloy Laptop StandNA Compatible with 9-15.6 inch LaptopsNA 7 Angles AdjustableNA Anti Slip Silicon Rubber PadsNA FoldableNA Velvet Pouch InsideNA Zeb-NS2000 (Dark Grey)",Computers&Accessories,4.4,899
"Logitech K480 Wireless Multi-Device Keyboard for WindowsNA macOSNA iPadOSNA Android or Chrome OSNA BluetoothNA CompactNA Compatible with PCNA MacNA LaptopNA SmartphoneNA Tablet - Black",Computers&Accessories,4.4,2595
"Belkin Apple Certified Lightning to USB Charge and Sync Tough Braided Cable for iPhoneNA iPadNA Air PodsNA 3.3 feet (1 meters) ? Black",Computers&Accessories,4.4,1299
"Belkin Apple Certified Lightning to USB Charge and Sync Cable for iPhoneNA iPadNA Air PodsNA 39.6 inch (100cm) ? Black",Computers&Accessories,4.4,999
"boAt A 350 Type C Cable for SmartphoneNA Charging Adapter (1.5mNA Carbon Black)",Computers&Accessories,4.4,299
"Lenovo 400 Wireless MouseNA 1200DPI Optical SensorNA 2.4GHz Wireless Nano USBNA 3-Button (LeftNARightNAScroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr BatteryNA AmbidextrousNA Ergonomic GY50R91293",Computers&Accessories,4.4,629
"Western Digital WD 1.5TB Elements Portable Hard Disk DriveNA USB 3.0NA Compatible with PCNA PS4 and XboxNA External HDD (WDBU6Y0015BBK-WESN)",Computers&Accessories,4.4,4449
"AmazonBasics 6 Feet DisplayPort to DisplayPort Cable - (Not HDMI Cable) (Gold)",Computers&Accessories,4.4,499
"INOVERA World Map Extended Anti Slip Rubber Gaming Stitched Mouse Pad Desk Mat for Computer Laptop (BlackNA 900L x 400B x 2H mm)",Computers&Accessories,4.4,499
"Amazonbasics Nylon Braided Usb-C To Lightning CableNA Fast Charging Mfi Certified SmartphoneNA Iphone Charger (6-FootNA Dark Grey)",Computers&Accessories,4.4,899
"Belkin Apple Certified Lightning To Type C CableNA Tough Unbreakable Braided Fast Charging For IphoneNA IpadNA Air PodsNA 3.3 Feet (1 Meters) White",Computers&Accessories,4.4,1599
"MI Braided USB Type-C Cable for Charging Adapter (Red)",Computers&Accessories,4.4,349
"Western Digital WD 2TB My Passport Portable Hard Disk DriveNA USB 3.0 with? Automatic BackupNA 256 Bit AES Hardware EncryptionNAPassword ProtectionNACompatible with Windows and MacNA External HDD-Black",Computers&Accessories,4.4,5599
"Boat A 350 Type C Cable 1.5m(Jet Black)",Computers&Accessories,4.4,299
"TP-LINK AC1300 Archer T3U Plus High Gain USB 3.0 Wi-Fi DongleNA Wireless Dual Band MU-MIMO WiFi Adapter with High Gain AntennaNA Supports Windows 11/10/8.1/8/7/XP/MacOS",Computers&Accessories,4.4,1699
"Wayona Type C Cable Nylon Braided USB C QC 3.0 Fast Charging Short Power Bank Cable for Samsung Galaxy S10e/S10+/S10/S9/S9+/Note 9/S8/Note 8NA LG G7 G5 G6NA Moto G6 G7 (0.25MNA Black)",Computers&Accessories,4.3,339
"MI Usb Type-C Cable Smartphone (Black)",Computers&Accessories,4.3,229
"MemeHo? Smart Standard Multi-Purpose Laptop Table with Dock Stand/Study Table/Bed Table/Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs/Engineered Wood with Cup Holder (Black)",Computers&Accessories,4.3,656
"Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)",Computers&Accessories,4.3,154
"Agaro Blaze USBA to micro +Type C 2in1 Braided 1.2M Cable",Computers&Accessories,4.3,159
"boAt A400 USB Type-C to USB-A 2.0 Male Data CableNA 2 Meter (Black)",Computers&Accessories,4.3,299
"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 InchesNA 12788)",Computers&Accessories,4.3,199
"Wayona USB Type C 65W Fast Charging 2M/6Ft Long Flash Charge Cable 3A QC 3.0 Data Cable Compatible with Samsung Galaxy S21 S10 S9 S8NA iQOO Z3NA VivoNA Note 10 9 8NA A20e A40 A50 A70NA Moto G7 G8 (2MNA Grey)",Computers&Accessories,4.3,325
"boAt A400 USB Type-C to USB-A 2.0 Male Data CableNA 2 Meter (Black)",Computers&Accessories,4.3,299
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 PlusNA Note 10 9 8NA A20e A40 A50 A70 (2MNA Grey)",Computers&Accessories,4.3,389
"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter)NA White",Computers&Accessories,4.3,599
"ProElite Faux Leather Smart Flip Case Cover for Apple iPad 10.2" 9th Gen (2021) / 8th Gen / 7th Gen with Stylus PenNA Black"",Computers&Accessories,4.3,549
"AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable Smartphone (Dark GreyNA 3 feet)",Computers&Accessories,4.3,499
"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop LaptopNA Mini Travel SizeNA Supports Windows 11NA10NA 8.1NA 8NA 7NA XP/Mac OS 10.9-10.15",Computers&Accessories,4.3,999
"Amazon Basics USB 3.0 Cable - A Male to Micro B - 6 Feet (1.8 Meters)NA Black",Computers&Accessories,4.3,299
"Wayona Usb C 65W Fast Charging Cable Compatible For Tablets Samsung S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G (1MNA Black)",Computers&Accessories,4.3,379
"AmazonBasics New Release Nylon USB-A to Lightning Cable CordNA Fast Charging MFi Certified Charger for Apple iPhoneNA iPad (6-FtNA Rose Gold)",Computers&Accessories,4.3,799
"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter)NA White",Computers&Accessories,4.3,599
"Tarkan Portable Folding Laptop Desk for BedNA Lapdesk with HandleNA DrawerNA Cup & Mobile/Tablet Holder for StudyNA EatingNA Work (Black)",Computers&Accessories,4.3,999
"Portronics Konnect L 1.2MtrNA Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",Computers&Accessories,4.3,154
"SanDisk Ultra 64 GB USB Pen Drives (SDDDC2-064G-I35NA BlackNA Silver)",Computers&Accessories,4.3,729
"Zebronics Zeb-Transformer Gaming Keyboard and Mouse Combo (USBNA Braided Cable)",Computers&Accessories,4.3,1299
"MI Usb Type-C Cable Smartphone (Black)",Computers&Accessories,4.3,229
